tt1921043,"O Palhaço",2011,"Selton Mello"
tt0125439,"Um Lugar Chamado Notting Hill",1999,"Roger Michell"
tt1210166,"O Homem Que Mudou o Jogo",2011,"Bennett Miller"
tt0245429,"A Viagem de Chihiro",2001,"Hayao Miyazaki"
tt0160127,"As Panteras",2000,McG
tt0468569,"Batman: O Cavaleiro das Trevas",2008,"Christopher Nolan"
tt1375666,"A Origem",2010,"Christopher Nolan"
tt0087332,"Os Caça-Fantasmas",1984,"Ivan Reitman"
tt1045658,"O Lado Bom da Vida",2012,"David O. Russell"
tt1800241,"Trapaça",2013,"David O. Russell"
tt0140888,"Central do Brasil",1998,"Walter Salles"
tt0343660,"Como se Fosse a Primeira Vez",2004,"Peter Segal"
tt0167404,"O Sexto Sentido",1999,"M. Night Shyamalan"
tt4972582,"Fragmentado",2016,"M. Night Shyamalan"
tt0439547,"2 Filhos de Francisco: A História de Zezé di Camargo & Luciano",2005,"Breno Silveira"
tt2975590,"Batman vs Superman: A Origem da Justiça",2016,"Zack Snyder"
tt1236397,"A Mulher Invisível",2009,"Cláudio Torres"
tt1250777,"Kick-Ass: Quebrando Tudo",2010,"Matthew Vaughn"
tt0325980,"Piratas do Caribe: A Maldição do Pérola Negra",2003,"Gore Verbinski"
tt0133093,"Matrix",1999,"Lana Wachowski"
tt0335119,"Moça com Brinco de Pérola",2003,"Peter Webber"
tt0276751,"Um Grande Garoto",2002,"Chris Weitz"
tt0365748,"Todo Mundo Quase Morto",2004,"Edgar Wright"
tt0052618,"Ben-Hur",1959,"William Wyler"
tt1201607,"Harry Potter e as Relíquias da Morte: Parte 2",2011,"David Yates"
tt0480249,"Eu Sou a Lenda",2007,"Francis Lawrence"
tt1951264,"Jogos Vorazes: Em Chamas",2013,"Francis Lawrence"
tt2820852,"Velozes & Furiosos 7",2015,"James Wan"
tt1325004,"A Saga Crepúsculo: Eclipse",2010,"David Slade"
tt0263124,"Bicho de Sete Cabeças",2000,"Laís Bodanzky"
tt1431045,"Deadpool",2016,"Tim Miller"
tt1022603,"(500) Dias com Ela",2009,"Marc Webb"
tt2024544,"12 Anos de Escravidão",2013,"Steve McQueen"
